TapTime,Miliseconds
10:13:28,307
10:13:32,276
10:13:35,301
10:13:38,274
10:13:41,0
10:13:45,282
10:13:48,457
10:13:50,308
10:13:54,0
10:13:56,265
10:13:58,301
10:14:01,0
10:14:03,0
10:14:07,284
10:14:10,476
10:14:12,145
10:14:15,244
10:14:18,0
10:14:21,0
10:14:23,0
10:14:26,0
10:14:29,265
10:14:31,0
10:14:34,0
10:14:37,0
10:14:40,340
10:14:43,577
10:14:46,285
10:14:50,0
10:14:52,293
10:14:55,0
10:14:58,0
10:15:02,493
10:15:06,287
10:15:11,246
10:15:15,0
10:15:17,0
10:15:19,0
10:15:21,0
10:15:24,0
10:15:27,0
10:15:29,0
10:15:30,0
10:15:33,147
10:15:35,265
10:15:38,0
10:15:41,277
10:15:43,322
10:15:46,310
10:15:49,0
10:15:52,0
10:15:55,303
10:15:57,0
10:16:01,0
10:16:04,0
10:16:09,277
10:16:11,263
10:16:13,0
10:16:16,266
10:16:19,330
10:16:23,0
10:16:26,0
10:16:27,0
10:16:28,0
10:16:33,637
10:16:33,0
10:16:38,273
10:16:41,306
10:16:43,341
10:16:46,0
10:16:50,0
10:16:53,493
10:16:53,0
10:16:55,298
10:16:58,289
10:17:00,277
10:17:02,259
10:17:06,314
10:17:09,0
10:17:14,338
10:17:18,340
10:17:20,523
10:17:24,337
10:17:28,308
10:17:28,0
10:17:32,285
10:17:36,290
10:17:40,0
10:17:42,277
10:17:45,360
10:17:48,362
10:17:49,0
10:17:52,0
10:17:55,276
10:17:56,0
10:18:00,290
10:18:03,338
10:18:08,0
10:18:10,0
10:18:12,0
10:18:14,0
10:18:16,244
10:18:19,0
10:18:21,0
10:18:22,0
10:18:24,0
10:18:26,0
10:18:29,0
10:18:30,356
10:18:33,0
10:18:36,0
10:18:39,0
10:18:41,0
10:18:43,0
10:18:45,0
10:18:48,0
10:18:50,0
10:18:53,442
10:18:55,0
10:18:58,0
10:19:01,0
10:19:03,0
10:19:06,0
10:19:08,442
10:19:11,0
10:19:14,0
10:19:17,407
10:19:19,328
10:19:20,0
10:19:22,0
10:19:24,361
10:19:26,0
10:19:27,0
10:19:29,211
10:19:30,0
10:19:32,0
10:19:33,0
10:19:35,270
10:19:37,0
10:19:39,0
10:19:41,0
10:19:42,0
10:19:43,0
10:19:45,0
10:19:46,0
10:19:48,0
10:19:49,0
10:19:52,248
10:19:54,0
10:19:56,0
10:19:59,310
10:20:01,0
10:20:03,572
10:20:06,0
10:20:09,0
10:20:11,0
10:20:11,0
10:20:14,299
10:20:16,294
10:20:20,344
10:20:23,357
10:20:28,310
Sex,Masculino
Age,11
Test Duration in seconds,423
Number of False Positives,91
Average response time ,324
Fastest response time ,145
Slowest response time ,637
2025-06-09 10:13:25,Count of response time over 500ms ,4
