TapTime,Miliseconds
09:49:52,562
09:49:56,312
09:49:59,0
09:50:03,299
09:50:06,288
09:50:09,250
09:50:13,267
09:50:16,338
09:50:19,0
09:50:24,284
09:50:27,300
09:50:30,290
09:50:36,277
09:50:39,324
09:50:41,387
09:50:45,321
09:50:47,524
09:50:50,258
09:50:54,208
09:50:57,305
09:51:00,0
09:51:03,292
09:51:05,316
09:51:10,259
09:51:15,274
09:51:20,244
09:51:25,290
09:51:28,351
09:51:30,282
09:51:33,260
09:51:35,323
09:51:39,0
09:51:44,275
09:51:47,447
09:51:52,232
09:51:56,257
09:51:58,0
09:51:58,0
09:52:00,232
09:52:03,489
09:52:08,136
09:52:11,284
09:52:14,0
09:52:16,391
09:52:19,356
09:52:21,340
09:52:25,259
09:52:30,247
09:52:34,0
09:52:38,346
09:52:38,0
09:52:42,461
09:52:47,284
09:52:51,327
09:52:55,255
09:52:59,275
09:53:04,240
09:53:08,347
09:53:11,298
09:53:15,221
09:53:19,272
09:53:22,451
09:53:26,227
09:53:29,293
09:53:31,416
09:53:34,240
09:53:36,276
09:53:38,23
09:53:41,351
09:53:43,242
09:53:45,0
09:53:50,263
09:53:53,280
09:53:58,242
09:54:00,347
09:54:02,286
09:54:04,0
09:54:08,247
09:54:09,0
09:54:13,290
09:54:18,287
09:54:19,0
09:54:22,604
09:54:26,433
09:54:31,310
09:54:34,326
09:54:37,296
09:54:39,339
09:54:43,260
09:54:47,331
09:54:50,272
09:54:53,0
09:54:56,361
09:55:00,313
09:55:02,0
09:55:05,447
09:55:09,339
09:55:12,175
09:55:16,268
09:55:20,252
09:55:20,0
09:55:25,235
09:55:28,347
09:55:33,302
09:55:38,266
09:55:42,316
09:55:46,253
09:55:49,466
09:55:52,323
09:55:56,287
09:56:00,0
09:56:03,306
09:56:06,279
09:56:09,295
09:56:13,262
09:56:16,277
09:56:21,288
09:56:25,240
09:56:29,340
09:56:32,0
09:56:36,331
09:56:41,271
09:56:44,457
09:56:46,311
09:56:50,248
Sex,femenino
Age,12
Test Duration in seconds,420
Number of False Positives,18
Average response time ,306
Fastest response time ,23
Slowest response time ,604
2025-06-09 09:49:50,Count of response time over 500ms ,3
