TapTime,Miliseconds
10:05:11,0
10:05:16,375
10:05:18,536
10:05:21,337
10:05:23,291
10:05:28,287
10:05:30,311
10:05:33,0
10:05:34,334
10:05:38,169
10:05:41,0
10:05:44,0
10:05:46,0
10:05:50,324
10:05:53,415
10:05:57,307
10:06:00,349
10:06:04,360
10:06:07,281
10:06:10,502
10:06:12,0
10:06:13,0
10:06:15,373
10:06:17,323
10:06:20,274
10:06:24,310
10:06:28,280
10:06:31,307
10:06:34,396
10:06:37,333
10:06:40,298
10:06:43,673
10:06:53,0
10:06:53,0
10:06:56,557
10:07:00,352
10:07:04,285
10:07:07,0
10:07:10,284
10:07:12,0
10:07:16,320
10:07:19,296
10:07:24,300
10:07:27,456
10:07:30,330
10:07:34,295
10:07:38,359
10:07:42,300
10:07:44,330
10:07:47,0
10:07:51,297
10:07:54,318
10:07:57,335
10:08:00,303
10:08:02,334
10:08:05,307
10:08:08,372
10:08:12,0
10:08:15,345
10:08:18,346
10:08:22,383
10:08:26,396
10:08:30,384
10:08:34,330
10:08:36,397
10:08:39,313
10:08:42,364
10:08:46,297
10:08:49,381
10:08:53,314
10:08:56,264
10:08:59,431
10:09:03,476
10:09:05,404
10:09:10,473
10:09:13,0
10:09:15,0
10:09:18,482
10:09:20,410
10:09:24,464
10:09:27,514
10:09:30,0
10:09:34,488
10:09:39,355
10:09:42,0
10:09:47,321
10:09:52,391
10:09:55,529
10:10:00,307
10:10:02,354
10:10:03,0
10:10:06,304
10:10:09,372
10:10:14,291
10:10:16,371
10:10:20,307
10:10:24,295
10:10:27,346
10:10:30,352
10:10:34,323
10:10:38,358
10:10:41,356
10:10:43,0
10:10:46,339
10:10:49,327
10:10:51,392
10:10:54,340
10:10:56,374
10:10:59,311
10:11:03,450
10:11:08,264
10:11:12,379
10:11:16,352
10:11:20,294
10:11:25,298
10:11:27,327
10:11:30,0
10:11:32,323
10:11:35,328
10:11:38,327
10:11:40,0
10:11:40,0
10:11:40,0
10:11:41,0
10:11:41,0
10:11:41,0
10:11:41,0
10:11:42,0
10:11:42,0
10:11:43,0
10:11:46,341
10:11:46,0
10:11:47,0
10:11:50,521
10:11:54,413
10:11:56,362
10:11:59,374
10:12:02,312
10:12:05,0
10:12:07,391
10:12:12,346
Sex,Femenino
Age,11
Test Duration in seconds,423
Number of False Positives,33
Average response time ,356
Fastest response time ,169
Slowest response time ,673
2025-05-12 10:05:08,Count of response time over 500ms ,7
