TapTime,Miliseconds
11:04:30,291
11:04:32,0
11:04:37,312
11:04:42,340
11:04:46,360
11:04:49,0
11:04:55,417
11:04:57,411
11:05:01,308
11:05:03,477
11:05:07,273
11:05:10,305
11:05:13,265
11:05:16,0
11:05:20,293
11:05:22,459
11:05:27,237
11:05:29,360
11:05:32,0
11:05:36,444
11:05:40,289
11:05:44,310
11:05:47,222
11:05:49,82
11:05:52,0
11:05:54,0
11:05:57,269
11:06:02,128
11:06:05,348
11:06:07,377
11:06:10,0
11:06:12,278
11:06:17,340
11:06:20,277
11:06:23,358
11:06:26,0
11:06:30,0
11:06:34,299
11:06:38,310
11:06:42,327
11:06:46,357
11:06:49,0
11:06:52,305
11:06:57,289
11:07:00,539
11:07:04,249
11:07:07,295
11:07:11,0
11:07:15,343
11:07:17,448
11:07:22,310
11:07:27,517
11:07:30,243
11:07:35,307
11:07:39,243
11:07:43,358
11:07:46,0
11:07:48,691
11:07:50,680
11:07:55,342
11:07:57,492
11:08:00,412
11:08:02,360
11:08:05,309
11:08:07,296
11:08:11,300
11:08:13,278
11:08:15,280
11:08:17,160
11:08:20,0
11:08:25,311
11:08:30,416
11:08:34,216
11:08:37,0
11:08:40,0
11:08:42,0
11:08:45,316
11:08:48,390
11:08:51,465
11:08:53,294
11:08:57,328
11:09:01,360
11:09:06,311
11:09:11,312
11:09:16,272
11:09:21,496
11:09:25,627
11:09:30,294
11:09:33,744
11:09:37,463
11:09:42,293
11:09:46,303
11:09:51,275
11:09:55,373
11:10:00,361
11:10:05,249
11:10:10,596
11:10:14,617
11:10:18,289
11:10:22,374
11:10:28,1461
11:10:33,447
11:10:36,490
11:10:41,591
11:10:46,573
11:10:49,718
11:10:52,988
11:10:55,422
11:10:57,540
11:11:00,325
11:11:03,275
11:11:06,0
11:11:09,313
11:11:12,644
11:11:16,459
11:11:21,287
11:11:25,554
11:11:28,490
11:11:30,0
Sex,femenino
Age,11
Test Duration in seconds,422
Number of False Positives,18
Average response time ,387
Fastest response time ,82
Slowest response time ,1461
2025-05-12 11:04:28,Count of response time over 500ms ,16
