TapTime,Miliseconds
10:24:35,684
10:24:37,295
10:24:40,0
10:24:43,265
10:24:45,307
10:24:48,0
10:24:50,296
10:24:55,0
10:24:56,0
10:24:58,0
10:25:03,295
10:25:06,324
10:25:10,304
10:25:13,338
10:25:17,250
10:25:22,285
10:25:24,295
10:25:27,272
10:25:30,295
10:25:34,0
10:25:36,338
10:25:39,273
10:25:41,305
10:25:45,0
10:25:48,270
10:25:51,257
10:25:54,277
10:25:59,293
10:26:03,310
10:26:05,408
10:26:09,300
10:26:11,0
10:26:14,0
10:26:17,310
10:26:20,307
10:26:23,263
10:26:28,290
10:26:30,893
10:26:33,358
10:26:35,314
10:26:37,307
10:26:40,276
10:26:43,0
10:26:45,279
10:26:49,257
10:26:52,302
10:26:54,296
10:26:59,330
10:27:03,290
10:27:06,277
10:27:11,323
10:27:15,262
10:27:17,294
10:27:19,356
10:27:21,307
10:27:25,262
10:27:27,279
10:27:29,262
10:27:32,291
10:27:35,268
10:27:39,196
10:27:42,0
10:27:45,0
10:27:47,0
10:27:50,263
10:27:53,317
10:27:56,273
10:27:59,277
10:28:01,0
10:28:04,0
10:28:07,0
10:28:12,290
10:28:15,294
10:28:17,340
10:28:20,0
10:28:24,288
10:28:28,0
10:28:30,394
10:28:34,0
10:28:37,307
10:28:40,368
10:28:44,327
10:28:46,348
10:28:50,0
10:28:53,294
10:28:57,276
10:29:01,343
10:29:05,373
10:29:08,335
10:29:12,280
10:29:15,335
10:29:19,324
10:29:21,318
10:29:25,0
10:29:28,0
10:29:32,245
10:29:35,286
10:29:38,288
10:29:41,0
10:29:44,292
10:29:47,295
10:29:50,333
10:29:54,0
10:29:59,277
10:30:01,390
10:30:04,0
10:30:07,0
10:30:11,294
10:30:14,291
10:30:16,385
10:30:20,264
10:30:22,315
10:30:26,272
10:30:30,373
10:30:33,295
10:30:37,324
10:30:40,354
10:30:43,295
10:30:45,276
10:30:50,255
10:30:54,272
10:30:57,358
10:31:00,246
10:31:02,262
10:31:05,0
10:31:08,273
10:31:11,0
10:31:15,241
10:31:19,294
10:31:23,313
10:31:27,262
10:31:31,282
10:31:37,272
Sex,femenino
Age,11
Test Duration in seconds,423
Number of False Positives,28
Average response time ,308
Fastest response time ,196
Slowest response time ,893
2025-05-12 10:24:33,Count of response time over 500ms ,2
