TapTime,Miliseconds
10:45:40,660
10:45:45,264
10:45:48,251
10:45:51,476
10:45:53,374
10:45:56,327
10:46:00,240
10:46:04,287
10:46:07,277
10:46:09,241
10:46:11,344
10:46:14,497
10:46:17,233
10:46:22,344
10:46:25,128
10:46:27,447
10:46:32,263
10:46:36,363
10:46:40,374
10:46:44,340
10:46:48,0
10:46:53,366
10:46:58,350
10:47:01,626
10:47:04,647
10:47:07,251
10:47:10,458
10:47:13,274
10:47:18,422
10:47:22,0
10:47:25,373
10:47:29,365
10:47:32,517
10:47:36,385
10:47:41,384
10:47:43,0
10:47:47,255
10:47:52,337
10:47:55,458
10:48:00,594
10:48:05,384
10:48:07,419
10:48:11,411
10:48:16,452
10:48:19,439
10:48:22,654
10:48:26,370
10:48:31,420
10:48:33,0
10:48:36,0
10:48:37,0
10:48:42,361
10:48:46,291
10:48:48,342
10:48:52,184
10:48:52,0
10:48:57,341
10:49:00,349
10:49:05,326
10:49:08,323
10:49:12,295
10:49:17,394
10:49:19,493
10:49:21,0
10:49:24,308
10:49:28,274
10:49:31,0
10:49:35,264
10:49:39,295
10:49:42,512
10:49:44,299
10:49:48,291
10:49:51,289
10:49:55,256
10:49:59,259
10:50:04,283
10:50:07,246
10:50:12,276
10:50:17,274
10:50:21,415
10:50:23,0
10:50:25,311
10:50:28,274
10:50:30,332
10:50:32,243
10:50:34,195
10:50:36,215
10:50:36,0
10:50:38,0
10:50:41,228
10:50:43,313
10:50:45,0
10:50:49,312
10:50:52,389
10:50:54,0
10:50:57,245
10:51:01,261
10:51:06,293
10:51:10,294
10:51:13,0
10:51:16,313
10:51:19,328
10:51:24,327
10:51:29,871
10:51:32,266
10:51:34,355
10:51:36,333
10:51:41,269
10:51:44,307
10:51:47,279
10:51:50,277
10:51:54,306
10:51:59,264
10:52:01,284
10:52:05,423
10:52:10,417
10:52:15,426
10:52:19,634
10:52:22,460
10:52:27,436
10:52:30,407
10:52:33,221
10:52:37,68
10:52:38,0
10:52:40,541
Sex,mujer
Age,11
Test Duration in seconds,422
Number of False Positives,16
Average response time ,351
Fastest response time ,68
Slowest response time ,871
2025-05-12 10:45:38,Count of response time over 500ms ,10
