TapTime,Miliseconds
11:43:50,696
11:43:53,288
11:43:56,307
11:43:58,275
11:44:00,0
11:44:03,306
11:44:07,283
11:44:10,0
11:44:13,334
11:44:16,510
11:44:19,296
11:44:21,390
11:44:22,0
11:44:26,332
11:44:28,327
11:44:33,340
11:44:35,406
11:44:39,335
11:44:43,382
11:44:46,311
11:44:51,296
11:44:54,313
11:44:59,294
11:45:02,353
11:45:05,329
11:45:08,358
11:45:12,291
11:45:15,343
11:45:18,285
11:45:21,309
11:45:24,323
11:45:26,365
11:45:28,323
11:45:33,356
11:45:36,286
11:45:40,341
11:45:44,365
11:45:47,302
11:45:52,306
11:45:56,307
11:46:00,499
11:46:04,290
11:46:08,306
11:46:11,360
11:46:14,275
11:46:16,325
11:46:20,280
11:46:23,333
11:46:27,306
11:46:30,340
11:46:32,356
11:46:35,306
11:46:39,310
11:46:43,267
11:46:47,286
11:46:51,340
11:46:56,268
11:47:00,304
11:47:02,378
11:47:06,279
11:47:10,287
11:47:13,345
11:47:16,314
11:47:19,310
11:47:23,329
11:47:28,345
11:47:30,316
11:47:34,309
11:47:37,324
11:47:39,390
11:47:42,347
11:47:46,368
11:47:49,322
11:47:51,262
11:47:55,274
11:47:58,293
11:48:03,308
11:48:08,297
11:48:12,297
11:48:14,410
11:48:18,294
11:48:21,298
11:48:23,394
11:48:26,311
11:48:28,294
11:48:30,261
11:48:33,344
11:48:36,310
11:48:38,342
11:48:41,305
11:48:44,297
11:48:47,303
11:48:51,325
11:48:55,343
11:48:59,282
11:49:03,293
11:49:08,306
11:49:13,388
11:49:14,383
11:49:17,313
11:49:19,306
11:49:23,344
11:49:27,280
11:49:30,263
11:49:35,346
11:49:40,264
11:49:43,360
11:49:46,344
11:49:49,293
11:49:54,298
11:49:57,515
11:50:02,279
11:50:07,365
11:50:11,278
11:50:13,399
11:50:14,0
11:50:18,332
11:50:20,365
11:50:25,359
11:50:27,325
11:50:31,329
11:50:36,313
11:50:39,343
11:50:44,281
11:50:48,315
Sex,f
Age,11
Test Duration in seconds,420
Number of False Positives,4
Average response time ,328
Fastest response time ,261
Slowest response time ,696
2025-04-04 11:43:48,Count of response time over 500ms ,3
