TapTime,Miliseconds
12:56:04,480
12:56:07,452
12:56:11,284
12:56:15,307
12:56:19,293
12:56:23,0
12:56:26,0
12:56:30,328
12:56:34,298
12:56:38,1178
12:56:41,361
12:56:45,360
12:56:49,460
12:56:53,0
12:56:56,479
12:56:59,346
12:57:04,316
12:57:08,300
12:57:11,261
12:57:14,0
12:57:17,0
12:57:20,347
12:57:23,442
12:57:26,0
12:57:30,302
12:57:32,372
12:57:34,297
12:57:37,0
12:57:40,298
12:57:43,375
12:57:48,308
12:57:50,333
12:57:52,0
12:57:54,365
12:57:56,312
12:58:02,435
12:58:04,566
12:58:06,375
12:58:09,379
12:58:14,326
12:58:18,297
12:58:22,290
12:58:25,372
12:58:28,317
12:58:31,501
12:58:34,0
12:58:35,0
12:58:40,231
12:58:45,126
12:58:47,444
12:58:50,387
12:58:52,298
12:58:55,0
12:58:57,290
12:58:59,418
12:59:00,0
12:59:02,0
12:59:07,307
12:59:09,369
12:59:11,252
12:59:16,305
12:59:16,0
12:59:20,287
12:59:22,0
12:59:24,330
12:59:27,368
12:59:30,0
12:59:33,306
12:59:35,353
12:59:38,0
12:59:41,0
12:59:43,0
12:59:46,326
12:59:49,518
12:59:53,386
12:59:57,308
13:00:00,456
13:00:04,322
13:00:07,489
13:00:09,0
13:00:12,0
13:00:17,333
13:00:20,701
13:00:22,320
13:00:27,333
13:00:32,364
13:00:36,284
13:00:38,375
13:00:43,382
13:00:47,451
13:00:49,482
13:00:54,378
13:00:56,314
13:00:57,0
13:00:59,329
13:01:00,0
13:01:02,282
13:01:06,372
13:01:10,305
13:01:13,261
13:01:18,416
13:01:22,293
13:01:26,442
13:01:30,361
13:01:32,432
13:01:34,0
13:01:37,0
13:01:40,0
13:01:42,0
13:01:45,322
13:01:49,315
13:01:53,0
13:01:55,0
13:01:57,392
13:02:01,402
13:02:03,382
13:02:08,316
13:02:11,343
13:02:14,473
13:02:17,524
13:02:20,346
13:02:23,403
13:02:26,407
13:02:29,486
13:02:32,322
13:02:35,0
13:02:40,0
13:02:42,444
13:02:45,471
13:02:49,338
13:02:53,421
13:02:56,421
13:02:58,391
13:03:01,275
13:03:05,291
Sex,
Test Duration in seconds,422
Number of False Positives,31
Average response time ,371
Fastest response time ,126
Slowest response time ,1178
2025-04-04 12:56:02,Count of response time over 500ms ,6
