TapTime,Miliseconds
11:20:58,471
11:21:02,760
11:21:05,296
11:21:09,340
11:21:12,0
11:21:15,363
11:21:18,329
11:21:20,332
11:21:22,310
11:21:27,327
11:21:30,1123
11:21:35,291
11:21:36,334
11:21:40,290
11:21:42,0
11:21:46,274
11:21:49,305
11:21:53,287
11:21:55,382
11:21:58,290
11:22:00,429
11:22:02,0
11:22:07,282
11:22:10,325
11:22:11,0
11:22:11,0
11:22:15,317
11:22:18,300
11:22:22,300
11:22:27,288
11:22:30,322
11:22:33,605
11:22:36,318
11:22:39,271
11:22:41,301
11:22:43,0
11:22:47,287
11:22:51,285
11:22:55,273
11:22:57,302
11:23:00,279
11:23:03,436
11:23:08,312
11:23:10,287
11:23:14,310
11:23:15,0
11:23:19,337
11:23:21,450
11:23:23,323
11:23:27,320
11:23:31,310
11:23:34,455
11:23:38,303
11:23:41,374
11:23:46,279
11:23:49,373
11:23:52,315
11:23:56,0
11:23:59,455
11:24:02,369
11:24:06,323
11:24:10,340
11:24:13,296
11:24:16,358
11:24:20,323
11:24:24,321
11:24:26,338
11:24:29,307
11:24:34,343
11:24:36,578
11:24:40,401
11:24:43,388
11:24:47,345
11:24:49,469
11:24:52,274
11:24:56,272
11:25:01,286
11:25:05,276
11:25:08,138
11:25:11,332
11:25:14,0
11:25:18,286
11:25:22,260
11:25:24,299
11:25:27,260
11:25:31,356
11:25:31,0
11:25:35,311
11:25:39,546
11:25:40,0
11:25:43,327
11:25:47,311
11:25:52,331
11:25:55,418
11:25:57,344
11:26:02,327
11:26:05,343
11:26:09,338
11:26:13,335
11:26:15,293
11:26:20,290
11:26:23,364
11:26:25,290
11:26:28,336
11:26:31,341
11:26:34,0
11:26:36,312
11:26:39,321
11:26:42,294
11:26:45,340
11:26:48,304
11:26:51,326
11:26:55,267
11:26:58,384
11:27:02,379
11:27:07,282
11:27:11,0
11:27:13,323
11:27:16,652
11:27:18,321
11:27:21,314
11:27:24,343
11:27:28,364
11:27:32,276
11:27:34,0
11:27:37,327
11:27:41,277
11:27:45,345
11:27:49,311
11:27:51,448
11:27:56,362
Sex,M
Age,11
Test Duration in seconds,420
Number of False Positives,14
Average response time ,346
Fastest response time ,138
Slowest response time ,1123
2025-04-04 11:20:55,Count of response time over 500ms ,6
