TapTime,Miliseconds
10:55:46,590
10:55:50,1595
10:55:51,0
10:55:55,323
10:55:59,394
10:56:01,510
10:56:04,344
10:56:07,390
10:56:12,328
10:56:14,589
10:56:19,342
10:56:22,0
10:56:24,291
10:56:27,341
10:56:30,0
10:56:33,0
10:56:36,311
10:56:39,340
10:56:42,289
10:56:45,318
10:56:50,341
10:56:52,394
10:56:57,397
10:56:59,318
10:57:03,0
10:57:05,279
10:57:10,322
10:57:14,457
10:57:18,294
10:57:20,343
10:57:23,580
10:57:24,0
10:57:27,623
10:57:30,342
10:57:35,353
10:57:38,98
10:57:42,0
10:57:45,226
10:57:49,0
10:57:52,259
10:57:55,0
10:57:57,0
10:58:00,325
10:58:03,514
10:58:07,329
10:58:11,0
10:58:16,506
10:58:19,322
10:58:22,0
10:58:24,0
10:58:26,0
10:58:28,0
10:58:30,0
10:58:33,0
10:58:36,354
10:58:39,354
10:58:42,36
10:58:44,499
10:58:49,841
10:58:51,343
10:58:54,265
10:58:57,340
10:59:02,354
10:59:04,520
10:59:08,195
10:59:12,0
10:59:16,377
10:59:20,393
10:59:22,424
10:59:27,302
10:59:30,432
10:59:34,0
10:59:36,0
10:59:39,0
10:59:41,0
10:59:44,0
10:59:46,527
10:59:49,327
10:59:52,0
10:59:54,0
10:59:57,498
10:59:58,0
11:00:02,663
11:00:05,229
11:00:07,486
11:00:12,340
11:00:14,0
11:00:17,517
11:00:20,492
11:00:23,427
11:00:25,508
11:00:28,438
11:00:30,0
11:00:33,522
11:00:36,406
11:00:40,947
11:00:45,740
11:00:49,520
11:00:51,0
11:00:54,604
11:00:58,454
11:01:03,925
11:01:06,321
11:01:09,404
11:01:12,386
11:01:16,354
11:01:20,549
11:01:23,0
11:01:25,547
11:01:30,705
11:01:33,339
11:01:37,333
11:01:40,523
11:01:42,342
11:01:44,556
11:01:47,0
11:01:49,0
11:01:52,327
11:01:55,500
11:01:58,468
11:02:01,640
11:02:05,384
11:02:09,364
11:02:14,643
11:02:19,461
11:02:24,581
11:02:27,0
11:02:30,425
11:02:32,0
11:02:36,409
11:02:39,924
11:02:45,771
Sex,mas
Test Duration in seconds,422
Number of False Positives,34
Average response time ,446
Fastest response time ,36
Slowest response time ,1595
2025-04-04 10:55:43,Count of response time over 500ms ,31
