TapTime,Miliseconds
09:42:20,557
09:42:24,276
09:42:28,277
09:42:32,278
09:42:36,263
09:42:38,392
09:42:43,275
09:42:46,394
09:42:50,264
09:42:53,294
09:42:56,294
09:43:00,317
09:43:03,0
09:43:08,280
09:43:10,427
09:43:13,244
09:43:16,365
09:43:19,313
09:43:22,313
09:43:27,294
09:43:32,415
09:43:34,373
09:43:37,320
09:43:40,289
09:43:43,346
09:43:45,297
09:43:48,325
09:43:51,350
09:43:54,255
09:43:59,323
09:44:03,258
09:44:06,344
09:44:09,328
09:44:11,144
09:44:15,278
09:44:17,389
09:44:20,365
09:44:23,266
09:44:26,261
09:44:29,369
09:44:32,298
09:44:35,319
09:44:39,272
09:44:43,288
09:44:46,248
09:44:49,290
09:44:53,260
09:44:55,477
09:44:57,440
09:44:59,0
09:45:03,341
09:45:05,0
09:45:09,310
09:45:12,323
09:45:16,279
09:45:21,279
09:45:24,418
09:45:26,306
09:45:30,289
09:45:31,0
09:45:33,440
09:45:36,307
09:45:37,0
09:45:42,298
09:45:46,347
09:45:51,408
09:45:54,368
09:45:56,488
09:45:59,0
09:46:03,310
09:46:06,340
09:46:08,309
09:46:13,406
09:46:16,343
09:46:20,472
09:46:23,335
09:46:27,602
09:46:31,323
09:46:36,444
09:46:38,438
09:46:40,0
09:46:44,289
09:46:48,357
09:46:51,297
09:46:56,282
09:47:01,392
09:47:03,497
09:47:07,344
09:47:09,535
09:47:11,291
09:47:15,283
09:47:17,473
09:47:20,343
09:47:24,290
09:47:26,456
09:47:31,291
09:47:35,283
09:47:40,324
09:47:41,0
09:47:45,360
09:47:48,345
09:47:52,323
09:47:56,312
09:48:00,388
09:48:03,616
09:48:08,312
09:48:12,444
09:48:16,463
09:48:18,323
09:48:21,338
09:48:23,394
09:48:26,268
09:48:30,330
09:48:33,423
09:48:35,343
09:48:38,0
09:48:41,446
09:48:44,310
09:48:47,332
09:48:50,515
09:48:52,275
09:48:56,0
09:48:59,284
09:49:01,390
09:49:05,324
09:49:07,294
09:49:12,267
09:49:16,334
09:49:19,290
Sex,masculino
Age,12
Test Duration in seconds,420
Number of False Positives,10
Average response time ,343
Fastest response time ,144
Slowest response time ,616
2025-04-04 09:42:19,Count of response time over 500ms ,5
