TapTime,Miliseconds
10:27:27,286
10:27:30,315
10:27:34,289
10:27:38,232
10:27:41,316
10:27:45,266
10:27:47,0
10:27:51,366
10:27:55,0
10:27:58,0
10:28:02,334
10:28:04,333
10:28:09,339
10:28:13,528
10:28:18,229
10:28:23,0
10:28:26,300
10:28:29,363
10:28:31,346
10:28:32,0
10:28:32,0
10:28:36,612
10:28:38,514
10:28:41,302
10:28:45,276
10:28:48,323
10:28:52,274
10:28:56,285
10:29:01,285
10:29:05,294
10:29:08,307
10:29:10,333
10:29:15,356
10:29:19,369
10:29:19,0
10:29:24,452
10:29:27,356
10:29:29,0
10:29:31,393
10:29:34,351
10:29:38,342
10:29:41,333
10:29:44,307
10:29:47,0
10:29:51,288
10:29:54,322
10:29:57,323
10:29:59,356
10:30:02,284
10:30:02,0
10:30:04,339
10:30:06,0
10:30:10,0
10:30:14,329
10:30:15,0
10:30:20,362
10:30:22,374
10:30:25,347
10:30:29,360
10:30:32,361
10:30:35,335
10:30:37,267
10:30:40,315
10:30:45,575
10:30:48,273
10:30:50,343
10:30:53,275
10:30:57,340
10:31:00,430
10:31:03,357
10:31:06,431
10:31:09,321
10:31:13,360
10:31:17,373
10:31:22,285
10:31:26,277
10:31:30,343
10:31:32,324
10:31:35,272
10:31:37,377
10:31:42,231
10:31:45,307
10:31:48,377
10:31:51,297
10:31:53,307
10:31:56,361
10:32:00,302
10:32:03,0
10:32:08,652
10:32:10,585
10:32:12,340
10:32:16,393
10:32:20,338
10:32:21,0
10:32:26,955
10:32:29,493
10:32:31,0
10:32:35,394
10:32:38,393
10:32:41,330
10:32:44,0
10:32:46,305
10:32:48,0
10:32:52,0
10:32:54,289
10:32:57,0
10:33:02,270
10:33:06,669
10:33:11,328
10:33:16,377
10:33:21,300
10:33:24,0
10:33:28,288
10:33:30,406
10:33:35,614
10:33:40,340
10:33:44,260
10:33:49,317
10:33:52,503
10:33:57,359
10:34:01,335
10:34:05,314
10:34:08,378
10:34:10,358
10:34:12,0
10:34:15,311
10:34:17,413
10:34:21,347
10:34:25,0
Sex,Varon
Age,12
Test Duration in seconds,420
Number of False Positives,23
Average response time ,358
Fastest response time ,229
Slowest response time ,955
2025-04-04 10:27:24,Count of response time over 500ms ,10
