TapTime,Miliseconds
10:48:18,2385
10:48:18,0
10:48:18,0
10:48:26,3307
10:48:27,0
10:48:34,0
10:48:34,0
10:48:34,0
10:48:37,876
10:48:37,0
10:48:43,1133
10:48:43,0
10:48:43,0
10:48:47,1346
10:48:52,1032
10:48:53,0
10:48:57,2097
10:49:02,330
10:49:07,406
10:49:11,333
10:49:13,364
10:49:17,312
10:49:21,317
10:49:23,518
10:49:28,281
10:49:31,342
10:49:33,320
10:49:38,330
10:49:42,334
10:49:47,313
10:49:50,399
10:49:54,418
10:49:58,541
10:50:03,361
10:50:06,499
10:50:08,505
10:50:12,295
10:50:14,355
10:50:19,304
10:50:23,279
10:50:26,357
10:50:26,0
10:50:29,892
10:50:32,392
10:50:36,1257
10:50:41,299
10:50:46,287
10:50:50,358
10:50:52,424
10:50:57,293
10:51:02,315
10:51:05,358
10:51:09,361
10:51:13,379
10:51:16,563
10:51:19,332
10:51:21,457
10:51:25,372
10:51:27,401
10:51:31,432
10:51:34,526
10:51:37,521
10:51:41,296
10:51:44,330
10:51:48,347
10:51:53,210
10:51:58,331
10:52:02,320
10:52:07,348
10:52:11,422
10:52:15,310
10:52:19,331
10:52:23,315
10:52:27,306
10:52:29,383
10:52:33,310
10:52:36,419
10:52:40,306
10:52:44,298
10:52:47,349
10:52:52,368
10:52:55,467
10:52:57,472
10:53:00,341
10:53:04,404
10:53:06,465
10:53:09,281
10:53:12,372
10:53:14,374
10:53:17,0
10:53:21,416
10:53:25,390
10:53:29,376
10:53:32,389
10:53:36,326
10:53:39,285
10:53:42,455
10:53:46,264
10:53:49,347
10:53:52,337
10:53:55,1119
10:54:00,318
10:54:02,411
10:54:06,312
10:54:09,324
10:54:13,295
10:54:17,291
10:54:22,397
10:54:24,423
10:54:29,425
10:54:32,373
10:54:35,388
10:54:38,354
10:54:42,257
10:54:46,354
10:54:49,328
10:54:52,0
10:54:53,0
10:54:58,317
10:55:01,348
10:55:05,316
10:55:09,649
10:55:12,326
10:55:16,293
Sex,
Test Duration in seconds,422
Number of False Positives,14
Average response time ,471
Fastest response time ,210
Slowest response time ,3307
2024-12-13 10:48:14,Count of response time over 500ms ,17
