TapTime,Miliseconds
10:23:17,0
10:23:22,374
10:23:26,1123
10:23:31,309
10:23:35,215
10:23:39,290
10:23:43,0
10:23:43,0
10:23:46,259
10:23:49,0
10:23:50,0
10:23:53,0
10:23:57,507
10:24:00,618
10:24:03,370
10:24:07,917
10:24:11,311
10:24:14,304
10:24:18,0
10:24:18,0
10:24:20,267
10:24:22,441
10:24:24,285
10:24:27,0
10:24:31,363
10:24:35,395
10:24:37,392
10:24:40,0
10:24:43,0
10:24:46,482
10:24:51,433
10:24:55,39
10:25:00,502
10:25:03,0
10:25:06,440
10:25:10,937
10:25:15,403
10:25:17,705
10:25:20,0
10:25:23,429
10:25:25,400
10:25:29,0
10:25:32,0
10:25:36,384
10:25:41,485
10:25:43,689
10:25:46,408
10:25:50,84
10:25:53,618
10:25:57,0
10:26:00,0
10:26:06,469
10:26:09,466
10:26:10,0
10:26:13,0
10:26:14,0
10:26:16,521
10:26:20,401
10:26:24,275
10:26:27,0
10:26:32,442
10:26:37,397
10:26:39,608
10:26:43,513
10:26:43,0
10:26:47,416
10:26:51,453
10:26:53,392
10:26:58,457
10:27:02,0
10:27:04,627
10:27:07,193
10:27:07,0
10:27:09,327
10:27:13,116
10:27:16,592
10:27:18,404
10:27:20,0
10:27:24,284
10:27:26,430
10:27:26,0
10:27:27,0
10:27:31,432
10:27:36,420
10:27:38,485
10:27:41,308
10:27:44,493
10:27:47,373
10:27:52,450
10:27:54,536
10:27:55,0
10:27:59,811
10:28:04,413
10:28:06,483
10:28:08,0
10:28:11,367
10:28:15,480
10:28:19,1254
10:28:19,0
10:28:23,319
10:28:26,308
10:28:28,367
10:28:31,0
10:28:33,268
10:28:38,269
10:28:41,301
10:28:43,0
10:28:45,0
10:28:50,320
10:28:55,399
10:28:59,300
10:29:01,0
10:29:02,0
10:29:03,267
10:29:07,0
10:29:08,0
10:29:12,374
10:29:17,636
10:29:20,0
10:29:24,421
10:29:24,0
10:29:27,392
10:29:30,504
10:29:33,363
10:29:33,0
10:29:37,0
10:29:40,402
10:29:43,339
10:29:47,0
10:29:47,0
10:29:49,0
10:29:54,283
10:29:59,275
10:30:00,0
10:30:04,257
10:30:08,382
10:30:11,466
10:30:15,594
10:30:18,0
Sex,
Test Duration in seconds,422
Number of False Positives,46
Average response time ,430
Fastest response time ,39
Slowest response time ,1254
2024-12-13 10:23:16Mario,Count of response time over 500ms ,20
