TapTime,Miliseconds
12:51:39,432
12:51:42,302
12:51:46,315
12:51:50,299
12:51:54,294
12:51:57,341
12:52:00,426
12:52:02,928
12:52:03,0
12:52:05,486
12:52:06,0
12:52:08,488
12:52:12,381
12:52:16,518
12:52:21,335
12:52:26,416
12:52:32,340
12:52:36,342
12:52:39,311
12:52:42,271
12:52:46,320
12:52:48,522
12:52:51,0
12:52:56,499
12:52:58,438
12:53:02,386
12:53:06,314
12:53:11,401
12:53:14,370
12:53:18,355
12:53:20,391
12:53:23,400
12:53:28,390
12:53:33,554
12:53:37,625
12:53:40,388
12:53:42,403
12:53:47,315
12:53:49,353
12:53:53,356
12:53:55,345
12:53:56,0
12:53:59,376
12:54:02,326
12:54:05,308
12:54:08,340
12:54:12,340
12:54:15,306
12:54:18,461
12:54:20,291
12:54:23,315
12:54:27,373
12:54:29,380
12:54:33,315
12:54:35,349
12:54:38,308
12:54:41,293
12:54:44,304
12:54:48,298
12:54:53,378
12:54:58,402
12:55:01,463
12:55:04,577
12:55:06,364
12:55:10,407
12:55:15,353
12:55:19,387
12:55:23,312
12:55:26,0
12:55:31,385
12:55:35,341
12:55:37,309
12:55:41,308
12:55:45,354
12:55:49,359
12:55:52,352
12:55:56,311
12:56:00,315
12:56:02,384
12:56:05,371
12:56:07,366
12:56:10,339
12:56:12,335
12:56:16,317
12:56:19,353
12:56:21,331
12:56:24,311
12:56:29,740
12:56:32,675
12:56:34,318
12:56:37,362
12:56:39,314
12:56:42,281
12:56:47,319
12:56:50,324
12:56:51,0
12:56:55,359
12:56:58,351
12:57:01,325
12:57:04,265
12:57:07,326
12:57:11,285
12:57:13,349
12:57:15,0
12:57:19,367
12:57:22,551
12:57:27,350
12:57:29,363
12:57:32,332
12:57:37,385
12:57:39,369
12:57:42,591
12:57:45,358
12:57:47,409
12:57:49,0
12:57:52,312
12:57:55,336
12:58:00,402
12:58:04,343
12:58:08,356
12:58:12,368
12:58:14,635
12:58:17,330
12:58:21,409
12:58:25,303
12:58:27,388
12:58:30,286
12:58:36,368
12:58:39,331
Sex,
Test Duration in seconds,423
Number of False Positives,8
Average response time ,377
Fastest response time ,265
Slowest response time ,928
2024-12-13 12:51:36,Count of response time over 500ms ,11
