TapTime,Miliseconds
12:18:34,400
12:18:36,285
12:18:38,0
12:18:42,0
12:18:47,325
12:18:49,392
12:18:53,290
12:18:56,345
12:18:57,313
12:19:01,362
12:19:03,323
12:19:08,323
12:19:11,367
12:19:15,293
12:19:18,293
12:19:22,191
12:19:26,327
12:19:29,334
12:19:32,316
12:19:35,550
12:19:37,341
12:19:42,283
12:19:44,376
12:19:48,315
12:19:50,279
12:19:53,290
12:19:55,362
12:19:59,275
12:20:02,311
12:20:05,272
12:20:08,0
12:20:12,348
12:20:15,363
12:20:16,71
12:20:17,0
12:20:21,399
12:20:24,325
12:20:27,0
12:20:31,323
12:20:34,355
12:20:39,329
12:20:41,416
12:20:44,316
12:20:48,305
12:20:51,291
12:20:56,5
12:21:00,307
12:21:03,333
12:21:05,0
12:21:10,324
12:21:15,784
12:21:19,302
12:21:22,441
12:21:25,0
12:21:29,351
12:21:33,396
12:21:35,343
12:21:40,301
12:21:43,319
12:21:46,328
12:21:51,370
12:21:54,91
12:21:58,331
12:22:01,304
12:22:04,341
12:22:06,405
12:22:07,0
12:22:10,283
12:22:12,459
12:22:14,0
12:22:17,310
12:22:21,0
12:22:25,280
12:22:30,270
12:22:33,374
12:22:36,279
12:22:39,367
12:22:43,290
12:22:47,48
12:22:49,419
12:22:51,283
12:22:53,0
12:22:55,352
12:22:58,364
12:23:01,346
12:23:05,0
12:23:08,302
12:23:12,0
12:23:14,335
12:23:17,312
12:23:20,283
12:23:24,336
12:23:27,441
12:23:31,483
12:23:34,353
12:23:40,346
12:23:42,0
12:23:47,478
12:23:51,295
12:23:55,287
12:23:59,332
12:24:02,378
12:24:03,0
12:24:07,282
12:24:11,327
12:24:15,422
12:24:19,343
12:24:21,392
12:24:25,323
12:24:27,430
12:24:31,0
12:24:33,347
12:24:35,367
12:24:37,365
12:24:41,342
12:24:45,0
12:24:49,268
12:24:54,308
12:24:56,428
12:24:59,306
12:25:02,0
12:25:04,311
12:25:07,0
12:25:09,327
12:25:13,298
12:25:16,461
12:25:20,303
12:25:24,548
12:25:28,277
12:25:33,427
Sex,
Test Duration in seconds,421
Number of False Positives,19
Average response time ,335
Fastest response time ,5
Slowest response time ,784
2024-12-13 12:18:32,Count of response time over 500ms ,3
