TapTime,Miliseconds
09:58:28,0
09:58:28,0
09:58:33,683
09:58:37,0
09:58:38,0
09:58:40,425
09:58:41,0
09:58:45,324
09:58:50,574
09:58:51,0
09:58:52,0
09:58:54,0
09:58:57,320
09:58:59,568
09:59:03,369
09:59:06,278
09:59:10,312
09:59:13,315
09:59:17,310
09:59:22,362
09:59:24,555
09:59:27,275
09:59:32,343
09:59:36,337
09:59:39,280
09:59:42,295
09:59:44,313
09:59:47,0
09:59:49,291
09:59:53,306
09:59:57,315
10:00:01,342
10:00:04,323
10:00:06,310
10:00:09,293
10:00:13,328
10:00:16,323
10:00:18,269
10:00:21,352
10:00:25,309
10:00:30,311
10:00:32,413
10:00:35,310
10:00:39,287
10:00:43,331
10:00:48,367
10:00:53,318
10:00:56,344
10:01:01,352
10:01:06,301
10:01:10,334
10:01:13,315
10:01:15,285
10:01:18,0
10:01:23,367
10:01:27,297
10:01:30,330
Sex,
Test Duration in seconds,182
Number of False Positives,10
Average response time ,345
Fastest response time ,269
Slowest response time ,683
2024-12-12 09:58:28,Count of response time over 500ms ,4
