TapTime,Miliseconds
09:47:37,383
09:47:40,335
09:47:45,368
09:47:48,413
09:47:52,464
09:47:56,554
09:47:58,424
09:48:01,330
09:48:04,0
09:48:06,425
09:48:11,351
09:48:14,385
09:48:18,406
09:48:21,399
09:48:24,516
09:48:27,386
09:48:32,809
09:48:35,464
09:48:38,400
09:48:41,348
09:48:46,415
09:48:50,502
09:48:54,421
09:48:59,382
09:49:04,376
09:49:06,519
09:49:08,407
09:49:13,497
09:49:17,362
09:49:20,383
09:49:25,418
09:49:28,408
09:49:31,372
09:49:35,0
09:49:38,391
09:49:43,384
09:49:47,372
09:49:52,374
09:49:56,351
09:50:00,453
09:50:03,354
09:50:06,396
09:50:09,371
09:50:13,362
09:50:15,478
09:50:19,426
09:50:22,1000
09:50:27,376
09:50:32,330
09:50:35,416
09:50:38,354
09:50:42,407
09:50:45,407
09:50:48,422
09:50:50,455
09:50:54,338
09:50:59,331
09:51:02,325
09:51:07,399
09:51:09,542
09:51:14,393
09:51:18,379
09:51:22,346
09:51:27,329
09:51:29,573
09:51:32,493
09:51:36,308
09:51:41,355
09:51:45,339
09:51:50,426
09:51:52,478
09:51:55,341
09:51:58,341
09:52:01,359
09:52:04,666
09:52:08,328
09:52:11,385
09:52:16,320
09:52:21,390
09:52:25,351
09:52:29,329
09:52:32,426
09:52:37,382
09:52:40,347
09:52:44,358
09:52:47,460
09:52:51,345
09:52:54,365
09:52:57,382
09:52:59,323
09:53:02,0
09:53:03,0
09:53:04,0
09:53:09,444
09:53:11,586
09:53:16,453
09:53:20,333
09:53:25,422
09:53:29,493
09:53:34,392
09:53:37,542
09:53:39,423
09:53:43,377
09:53:47,321
09:53:49,628
09:53:52,358
09:53:56,438
09:54:00,381
09:54:04,409
09:54:08,332
09:54:10,658
09:54:15,341
09:54:19,383
09:54:22,460
09:54:26,359
09:54:29,580
09:54:34,344
09:54:36,484
Sex,
Test Duration in seconds,422
Number of False Positives,5
Average response time ,415
Fastest response time ,308
Slowest response time ,1000
2024-12-13 09:47:34,Count of response time over 500ms ,14
