TapTime,Miliseconds
13:06:15,350
13:06:17,0
13:06:18,0
13:06:23,349
13:06:27,326
13:06:29,299
13:06:31,0
13:06:34,289
13:06:36,315
13:06:40,311
13:06:42,330
13:06:44,0
13:06:49,305
13:06:52,289
13:06:55,310
13:07:00,279
13:07:04,304
13:07:06,329
13:07:09,348
13:07:12,0
13:07:17,304
13:07:22,286
13:07:25,278
13:07:28,318
13:07:32,320
13:07:35,376
13:07:38,303
13:07:42,333
13:07:45,275
13:07:49,457
13:07:52,420
13:07:52,0
13:07:56,264
13:07:59,295
13:08:02,293
13:08:05,279
13:08:08,0
13:08:10,417
13:08:14,365
13:08:16,296
13:08:19,269
13:08:22,331
13:08:27,251
13:08:31,284
13:08:34,327
13:08:35,0
13:08:38,423
13:08:41,300
13:08:45,0
13:08:48,529
13:08:50,580
13:08:52,299
13:08:56,284
13:08:59,296
13:09:04,655
13:09:04,0
13:09:08,286
13:09:13,298
13:09:15,440
13:09:19,0
13:09:22,306
13:09:26,0
13:09:29,0
13:09:33,299
13:09:36,287
13:09:40,281
13:09:44,266
13:09:47,355
13:09:51,300
13:09:56,277
13:09:59,351
13:10:03,281
13:10:08,204
13:10:10,455
13:10:13,259
13:10:17,0
13:10:21,0
13:10:23,354
13:10:27,284
13:10:32,289
13:10:34,285
13:10:37,345
13:10:41,286
13:10:43,353
13:10:46,343
13:10:51,310
13:10:54,317
13:10:58,342
13:11:02,303
13:11:05,308
13:11:07,0
13:11:09,305
13:11:14,295
13:11:16,292
13:11:18,261
13:11:20,0
13:11:24,137
13:11:26,279
13:11:27,0
13:11:29,0
13:11:32,308
13:11:36,294
13:11:39,369
13:11:43,285
13:11:45,310
13:11:47,0
13:11:50,277
13:11:54,254
13:11:57,286
13:11:58,0
13:11:59,0
13:12:04,321
13:12:08,285
13:12:11,279
13:12:15,288
13:12:19,263
13:12:21,0
13:12:23,357
13:12:26,339
13:12:28,0
13:12:31,344
13:12:31,0
13:12:35,276
13:12:39,291
13:12:42,272
13:12:45,297
13:12:49,521
13:12:53,257
13:12:56,324
13:13:00,365
13:13:03,305
13:13:06,279
13:13:08,0
13:13:09,0
13:13:13,0
Sex,
Test Duration in seconds,420
Number of False Positives,28
Average response time ,318
Fastest response time ,137
Slowest response time ,655
2024-12-12 01:06:13,Count of response time over 500ms ,4
