TapTime,Miliseconds
12:35:41,595
12:35:42,0
12:35:44,0
12:35:47,533
12:35:50,0
12:35:53,0
12:35:56,0
12:36:00,420
12:36:03,481
12:36:06,272
12:36:10,267
12:36:13,330
12:36:15,524
12:36:17,0
12:36:20,282
12:36:22,0
12:36:25,306
12:36:29,287
12:36:31,633
12:36:36,282
12:36:39,518
12:36:43,306
12:36:45,397
12:36:49,258
12:36:54,241
12:36:58,234
12:37:01,525
12:37:04,353
12:37:09,735
12:37:13,332
12:37:16,347
12:37:20,313
12:37:24,291
12:37:26,384
12:37:29,383
12:37:31,353
12:37:34,332
12:37:38,278
12:37:41,0
12:37:44,305
12:37:48,332
12:37:52,293
12:37:56,280
12:37:59,409
12:38:02,316
12:38:05,310
12:38:09,0
12:38:14,464
12:38:17,277
12:38:20,308
12:38:24,312
12:38:28,290
12:38:31,267
12:38:35,246
12:38:38,335
12:38:40,385
12:38:44,295
12:38:49,342
12:38:52,439
12:38:56,336
12:39:01,288
12:39:06,318
12:39:09,310
12:39:12,287
12:39:16,297
12:39:20,286
12:39:22,622
12:39:25,324
12:39:28,351
12:39:31,338
12:39:34,344
12:39:39,305
12:39:43,365
12:39:48,294
12:39:52,0
12:39:55,568
12:39:59,368
12:40:03,282
12:40:08,282
12:40:12,297
12:40:17,357
12:40:22,266
12:40:25,533
12:40:28,333
12:40:31,315
12:40:35,251
12:40:40,284
12:40:43,548
12:40:48,277
12:40:53,449
12:40:57,288
12:41:02,366
12:41:05,323
12:41:10,297
12:41:12,437
12:41:17,330
12:41:21,288
12:41:27,755
12:41:31,395
12:41:36,276
12:41:41,488
12:41:43,420
12:41:46,322
12:41:50,148
12:41:54,186
12:41:56,358
12:42:01,0
12:42:05,308
12:42:09,338
12:42:12,378
12:42:17,284
12:42:20,322
12:42:25,1746
12:42:25,0
12:42:25,0
12:42:30,387
12:42:32,644
12:42:37,302
12:42:41,273
Sex,
Test Duration in seconds,421
Number of False Positives,13
Average response time ,369
Fastest response time ,148
Slowest response time ,1746
2024-12-12 12:35:39,Count of response time over 500ms ,14
