TapTime,Miliseconds
10:35:22,290
10:35:25,284
10:35:28,0
10:35:30,364
10:35:33,380
10:35:37,259
10:35:39,218
10:35:42,256
10:35:46,378
10:35:49,287
10:35:51,339
10:35:54,251
10:35:56,0
10:35:58,306
10:36:00,308
10:36:02,276
10:36:07,390
10:36:12,327
10:36:17,288
10:36:21,247
10:36:25,282
10:36:28,408
10:36:30,534
10:36:34,258
10:36:38,306
10:36:40,280
10:36:45,286
10:36:47,350
10:36:50,298
10:36:52,258
10:36:56,325
10:37:00,357
10:37:03,232
10:37:08,249
10:37:11,408
10:37:15,257
10:37:20,321
10:37:25,302
10:37:27,382
10:37:32,670
10:37:37,263
10:37:42,341
10:37:45,319
10:37:48,408
10:37:49,274
10:37:54,351
10:37:57,285
10:38:00,323
10:38:03,303
10:38:07,252
10:38:08,0
10:38:11,323
10:38:16,283
10:38:21,368
10:38:25,302
10:38:28,341
10:38:31,262
10:38:34,0
10:38:37,317
10:38:41,304
10:38:45,301
10:38:47,338
10:38:51,258
10:38:55,274
10:39:00,276
10:39:04,263
10:39:09,297
10:39:13,0
10:39:17,291
10:39:22,307
10:39:25,278
10:39:30,500
10:39:35,361
10:39:39,340
10:39:42,481
10:39:45,285
10:39:48,357
10:39:51,360
10:39:54,295
10:39:57,0
10:39:59,267
10:40:02,413
10:40:06,256
10:40:08,425
10:40:10,301
10:40:14,313
10:40:17,348
10:40:22,296
10:40:24,325
10:40:27,301
10:40:31,262
10:40:35,7
10:40:38,183
10:40:42,0
10:40:46,335
10:40:47,0
10:40:50,287
10:40:53,341
10:40:57,267
10:41:01,277
10:41:06,284
10:41:08,391
10:41:10,353
10:41:14,301
10:41:18,278
10:41:22,338
10:41:26,398
10:41:30,298
10:41:36,286
10:41:38,382
10:41:42,347
10:41:44,315
10:41:48,265
10:41:53,341
10:41:55,327
10:41:57,311
10:42:02,369
10:42:07,265
10:42:11,204
10:42:16,280
10:42:20,70
10:42:22,365
10:42:25,332
10:42:29,0
10:42:33,282
10:42:36,316
10:42:40,371
10:42:42,362
10:42:45,317
10:42:49,276
10:42:53,333
10:42:53,0
10:42:55,437
10:42:59,402
10:43:01,285
10:43:05,306
10:43:09,287
10:43:14,276
10:43:18,236
10:43:21,314
10:43:26,418
10:43:29,246
10:43:32,328
10:43:34,0
10:43:37,268
10:43:40,296
10:43:43,356
10:43:47,435
10:43:50,293
10:43:52,359
10:43:56,364
10:43:58,363
10:44:03,390
10:44:07,370
10:44:10,325
10:44:14,292
10:44:16,364
10:44:19,0
10:44:22,334
10:44:27,304
10:44:29,458
10:44:32,254
10:44:36,0
10:44:38,303
10:44:40,385
10:44:43,278
10:44:47,587
10:44:50,350
10:44:54,284
10:44:59,336
10:45:04,380
10:45:07,273
10:45:09,291
10:45:13,374
10:45:15,329
10:45:17,277
10:45:20,287
Sex,
Test Duration in seconds,601
Number of False Positives,13
Average response time ,319
Fastest response time ,7
Slowest response time ,670
2024-12-12 10:35:18,Count of response time over 500ms ,4
